CMDLINE /Users/johanneskarlsen/inf-2600/venv/bin/python3.11 precode.py
MEM 0.371094 1707562255.3454
MEM 13.796875 1707562255.4471
MEM 22.527344 1707562255.5474
MEM 32.777344 1707562255.6479
MEM 41.242188 1707562255.7486
MEM 44.929688 1707562255.8520
MEM 49.382812 1707562255.9547
MEM 52.539062 1707562256.0551
MEM 63.949219 1707562256.1554
MEM 71.753906 1707562256.2565
MEM 88.332031 1707562256.3587
MEM 101.035156 1707562256.4634
MEM 101.367188 1707562256.5689
MEM 101.367188 1707562256.6712
MEM 102.519531 1707562256.7716
MEM 102.519531 1707562256.8738
MEM 102.667969 1707562256.9778
MEM 102.867188 1707562257.0786
MEM 102.867188 1707562257.1828
MEM 102.875000 1707562257.2834
MEM 102.875000 1707562257.3875
MEM 102.878906 1707562257.4921
MEM 103.000000 1707562257.5962
MEM 103.000000 1707562257.6973
MEM 103.000000 1707562257.8028
MEM 103.000000 1707562257.9083
MEM 103.062500 1707562258.0125
MEM 103.691406 1707562258.1161
MEM 104.324219 1707562258.2183
MEM 104.960938 1707562258.3234
MEM 105.589844 1707562258.4246
MEM 106.085938 1707562258.5297
MEM 105.792969 1707562258.6334
MEM 105.746094 1707562258.7357
MEM 106.058594 1707562258.8409
MEM 106.300781 1707562258.9430
MEM 106.531250 1707562259.0445
MEM 106.804688 1707562259.1456
MEM 107.031250 1707562259.2502
MEM 107.261719 1707562259.3526
MEM 107.503906 1707562259.4578
MEM 107.718750 1707562259.5630
MEM 107.945312 1707562259.6657
MEM 108.144531 1707562259.7709
MEM 108.363281 1707562259.8761
MEM 108.562500 1707562259.9812
MEM 108.718750 1707562260.0864
MEM 108.859375 1707562260.1915
MEM 109.000000 1707562260.2927
MEM 109.246094 1707562260.3979
MEM 109.519531 1707562260.5030
MEM 109.859375 1707562260.6049
MEM 110.093750 1707562260.7067
MEM 110.218750 1707562260.8077
MEM 110.527344 1707562260.9096
MEM 110.679688 1707562261.0106
MEM 110.992188 1707562261.1157
MEM 111.320312 1707562261.2209
MEM 111.421875 1707562261.3220
MEM 111.714844 1707562261.4272
MEM 111.851562 1707562261.5324
MEM 112.031250 1707562261.6344
MEM 112.207031 1707562261.7396
MEM 112.289062 1707562261.8417
MEM 112.468750 1707562261.9470
MEM 112.570312 1707562262.0476
MEM 112.753906 1707562262.1517
MEM 112.867188 1707562262.2542
MEM 113.023438 1707562262.3552
MEM 113.144531 1707562262.4603
MEM 113.324219 1707562262.5655
MEM 113.488281 1707562262.6672
MEM 113.593750 1707562262.7723
MEM 113.785156 1707562262.8775
MEM 113.902344 1707562262.9817
MEM 114.066406 1707562263.0826
MEM 114.156250 1707562263.1837
MEM 114.320312 1707562263.2861
MEM 114.398438 1707562263.3914
MEM 114.574219 1707562263.4964
MEM 114.750000 1707562263.5990
MEM 114.882812 1707562263.7001
MEM 115.058594 1707562263.8054
MEM 115.171875 1707562263.9106
MEM 115.339844 1707562264.0117
MEM 115.449219 1707562264.1168
MEM 115.625000 1707562264.2220
MEM 115.804688 1707562264.3265
MEM 115.894531 1707562264.4290
MEM 116.042969 1707562264.5301
MEM 116.136719 1707562264.6353
MEM 116.210938 1707562264.7405
MEM 116.371094 1707562264.8447
MEM 116.472656 1707562264.9499
MEM 116.625000 1707562265.0551
MEM 116.699219 1707562265.1558
MEM 116.863281 1707562265.2605
MEM 116.964844 1707562265.3657
MEM 117.121094 1707562265.4689
MEM 117.191406 1707562265.5715
MEM 117.328125 1707562265.6725
MEM 117.414062 1707562265.7732
MEM 117.480469 1707562265.8735
MEM 117.621094 1707562265.9740
MEM 117.707031 1707562266.0751
MEM 117.847656 1707562266.1758
MEM 117.910156 1707562266.2792
MEM 117.992188 1707562266.3810
MEM 118.144531 1707562266.4835
MEM 118.203125 1707562266.5886
MEM 118.265625 1707562266.6938
MEM 118.406250 1707562266.7990
